Price,Catergory,Model,Brand,Name,Ramtype,amount,Capacity,Bus
0,Ram,,,Corsair Vegeance DDR3 (2x2GB) 4GB bus 1600 - CMZ4GBX3M2A1600C9,DDR3,2,4,1600
2150000,Ram,,,Corsair Vegeance DDR3 (2x4GB) 8GB bus 1600 - CMZ8GBX3M2A1600C9 ,DDR3,2,8,1600
4300000,Ram,,,Corsair Vegeance DDR3 (2x8GB) 16GB bus 1600 - CMZ16GBX3M2A1600C9,DDR3,2,16,1600
890000,Ram,,,Corsair Vengeance DDR3 4GB bus 1600 - CMZ4GBX3M1A1600C9,DDR3,1,4,1600
1530000,Ram,,,Corsair Vengeance DDR3 8GB bus 1600 - CMZ8GBX3M1A1600C10 ,DDR3,1,8,1600
590000,Ram,,Corsair,Corsair XMS3 DDR3 2GB bus 1333 - CMX2GBX3M1A1333C9,DDR3,1,2,1333
950000,Ram,,,Corsair XMS3 DDR3 4GB bus 1600 - CMX4GBX3M1A1600C11,DDR3,1,4,1600
1850000,Ram,,Corsair,Corsair XMS3 DDR3 8GB bus 1333 - CMX8GBX3M1A1333C9 ,DDR3,1,8,1333
490000,Ram,,Silicon,DDR3 Silicon Power 2GB bus 1333,DDR3,1,2,1333
290000,Ram,,Patriot,Patriot DDR3 2GB bus 1333,DDR3,1,2,1333
490000,Ram,,Patriot,Patriot DDR3 4GB bus 1333,DDR3,1,4,1333
2350000,Ram,AX4U2400W8G16-DRD,Adata,RAM ADATA 16GB (2x8GB) DDR4 2400MHz AX4U2400W8GB16-DRD - LED đỏ,DDR4,2,16,2400
360000,Ram,,Adata,RAM ADATA 2GB DDR3 1600MHz AD3U160022GB11-S,DDR3,1,2,1600
3099000,Ram,AX4U2400316G16-DRD,Adata,RAM ADATA 32GB (2x16GB) DDR4 2400MHz AX4U2400316GB16-DRD - LED đỏ,DDR4,2,32,2400
3169000,Ram,AX4U2400W8G16-QRD,Adata,RAM ADATA 32GB (4x8GB) DDR4 2400MHz AX4U2400W8GB16-QRD - LED đỏ,DDR4,4,32,2400
0,Ram,,Adata,RAM ADATA 4GB (2x2) DDR3 2000G Gaming Series V1.0 Tản nhiệt nhôm Black bóng,DDR3,2,4,2000
590000,Ram,,Adata,RAM ADATA 4GB DDR3 1600MHz AD3U1600W4GB11-R,DDR3,1,4,1600
490000,Ram,AX3U1600W4G11-RD,Adata,RAM ADATA 4GB XPG V1.0  DDR3 1600MHz AX3U1600W4GB11-RD (Blue),DDR3,1,4,1600
590000,Ram,AX3U1600W4G9-RB,Adata,RAM ADATA 4GB XPG V1.0  DDR3 1600MHz AX3U1600W4GB9-RB (Black),DDR3,1,4,1600
790000,Ram,AX4U2133W4G13-BRZ,Adata,RAM ADATA 4GB XPG Z1 DDR4 2133MHz AX4U2133W4GB13-BRZ (Red),DDR4,1,4,2133
1180000,Ram,,Adata,RAM ADATA 8GB DDR3 1600MHz AD3U1600W8GB11-S,DDR3,1,8,1600
1150000,Ram,AX3U1600W8G11-BD,Adata,RAM ADATA 8GB XPG V1.0  DDR3 1600MHz AX3U1600W8GB11-BD (Blue),DDR3,1,8,1600
1150000,Ram,AX3U1600W8G9-RB,Adata,RAM ADATA 8GB XPG V1.0  DDR3 1600MHz AX3U1600W8GB9-RB (Black),DDR3,1,8,1600
1190000,Ram,AX4U2133W8G13-BRZ,Adata,RAM ADATA 8GB XPG Z1 DDR4 2133MHz AX4U2133W8GB13-BRZ (Red),DDR4,1,8,2133
1390000,Ram,AX4U2400W8G16-BRZ,Adata,RAM ADATA 8GB XPG Z1 DDR4 2400MHz AX4U2400W8GB16-BRZ (Red),DDR4,1,8,2400
2299000,Ram,AX4U2133W8G13-DRZ,Adata,RAM ADATA kit 16GB (2x8GB) XPG Z1  DDR4 2133MHz AX4U2133W8GB13-DRZ (Red),DDR4,2,16,2133
1050000,Ram,AX3U1600W4G9-DGV,Adata,RAM ADATA kit 8GB (2x4GB) XPG V2.0  DDR3 1600MHz AX3U1600W4GB9-DGV,DDR3,2,8,1600
1050000,Ram,AX3U1600W4G9-DMV,Adata,RAM ADATA kit 8GB (2x4GB) XPG V2.0  DDR3 1600MHz AX3U1600W4GB9-DMV,DDR3,2,8,1600
1290000,Ram,AX4U2133W4G13-DRZ,Adata,RAM ADATA Kit 8GB (2x4GB) XPG Z1 DDR4 2133MHz AX4U2133W4GB13-DRZ (Red),DDR4,2,8,2133
3490000,Ram,,Adata,RAM ADATA XPG Z1 16GB (2x8GB) DDR4 2133 (PC4-17000) Desktop Memory,DDR4,2,16,2133
3590000,Ram,,Adata,RAM ADATA XPG Z1 16GB (2x8GB) DDR4 2400 (PC4-19200) Desktop Memory,DDR4,2,16,2400
1099000,Ram,,Adata,RAM ADATA XPG Z1 8GB (2x4GB) DDR4 2133 (PC4-17000),DDR4,2,8,2133
1499000,Ram,,Adata,RAM ADATA XPG Z1 8GB (2x4GB) DDR4 2400 WHITE,DDR4,2,8,2400
5400000,Ram,,Corsair,RAM Corsair DOMINATOR Platinum 16GB (4x4GB) DDR4 bus 2666Mhz - (CMD16GBX4M4A2666C16),DDR4,4,16,2666
5060000,Ram,CMD16GX3M2A1866C9,Corsair,RAM Corsair Dominator Platinum DDR3 (2x8GB) 16GB bus 1866 - CMD16GBX3M2A1866C9,DDR3,2,16,1866
5555000,Ram,CMD16GX3M4A1866C9,Corsair,RAM Corsair Dominator Platinum DDR3 (4x4GB) 16GB bus 1866 - CMD16GBX3M4A1866C9,DDR3,4,16,1866
1690000,Ram,,,RAM Corsair Vegeance 8GB (2*4GB) CMZ8GBX3M2A1600C9B (màu xanh),DDR3,1,8,1600
1690000,Ram,,,RAM Corsair Vegeance 8GB (2*4GB) CMZ8GBX3M2A1600C9R (màu đỏ),DDR3,1,8,1600
1820000,Ram,,Corsair,Ram Corsair Vegeance Pro DDR3 (2x4GB) 8GB bus 1600 - CMY8GBX3M2A1600C9,DDR3,2,8,1600
1820000,Ram,,Corsair,Ram Corsair Vegeance Pro DDR3 (2x4GB) 8GB bus 1600 - CMY8GBX3M2A1600C9B,DDR3,2,8,1600
1820000,Ram,,Corsair,Ram Corsair Vegeance Pro DDR3 (2x4GB) 8GB bus 1600 - CMY8GBX3M2A1600C9R,DDR3,2,8,1600
3590000,Ram,,Corsair,Ram Corsair Vegeance Pro DDR3 (2x8GB) 16GB bus 1600 - CMY16GBX3M2A1600C9,DDR3,2,16,1600
3710000,Ram,,Corsair,RAM Corsair Vegeance Pro DDR3 (2x8GB) 16GB bus 2133 - CMY16GBX3M2A2133C11,DDR3,2,16,2133
6290000,Ram,,Corsair,RAM Corsair Vengeance LPX 16GB (4x4GB) DDR4 (CMK16GBX4M4A2400C14),DDR4,4,16,2400
2749000,Ram,,Corsair,Ram Corsair VENGEANCE LED 16GB (2x8GB) DDR4 2666MHz C16 Memory Kit - Red LED (CMU16GBX4M2A2666C16R),DDR4,2,16,2666
2649000,Ram,,Corsair,Ram Corsair VENGEANCE LED 16GB (2x8GB) DDR4 2666MHz C16 Memory Kit - White LED (CMU16GBX4M2A2666C16R),DDR4,2,16,2666
2700000,Ram,,Corsair,RAM Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 2666MHz C16 Memory Kit – White (CMK16GBX4M2A2666C16W),DDR4,2,16,2666
3950000,Ram,,Corsair,RAM Corsair Vengeance LPX 16GB (4x4GB) DDR4 DRAM 2666MHz C16 Memory Kit - Black (CMK16GBX4M4A2666C16),DDR4,4,16,2666
950000,Ram,,Corsair,RAM Corsair XMS3 DDR3 4GB bus 1333 - CMX4GBX3M1A1333C9 ,DDR3,1,4,1333
2590000,Ram,,GSkill,RAM G.SKILL RIPJAWS V-16GB (8x2) DDR4 3200MHz- F4-3200C16D-16GBVKB,DDR4,8,16,3200
1390000,Ram,,GSkill,Ram G.SKILL RIPJAWS V-8GB (4x2) DDR4 2400MHz- F4-2400C15D-8GBVK,DDR4,4,8,2400
3199000,Ram,,GSkill,RAM G.Skill Trident Z - 16GB (8x2) DDR4 3200GHz - F4-3200C16D-16GBTZB,DDR4,8,16,3200
0,Ram,,GSkill,Ram GSkill DDR3 16GB bus 1600 - Tản nhiệt đỏ,DDR3,1,16,1600
0,Ram,,GSkill,Ram GSKill DDR3 16GB bus 1866Mhz SNIPER SERIES F3-1866C10D-16GBSR,DDR3,1,16,1866
0,Ram,,GSkill,Ram GSkill DDR3 16GB bus 2133,DDR3,1,16,2133
0,Ram,,GSkill,Ram GSkill DDR3 16GB bus 2400,DDR3,1,16,2400
300000,Ram,,GSkill,RAM GSkill DDR3 2GB bus 1333 F3-1333C9S-2GBIS,DDR3,1,2,1333
300000,Ram,,GSkill,RAM GSkill DDR3 2GB bus 1600 F3-1600C11S-2GBIS,DDR3,1,2,1600
0,Ram,,GSkill,Ram GSkill DDR3 32GB bus 1600 (4x8GB) - Tản nhiệt xanh,DDR3,4,32,1600
0,Ram,,GSkill,Ram GSkill DDR3 4GB bus 1333,DDR3,1,4,1333
599000,Ram,,GSkill,RAM GSkill DDR3 4GB bus 1600 F3-1600C11S-4GBIS,DDR3,1,4,1600
0,Ram,,GSkill,Ram GSkill DDR3 8GB bus 1333 (2x4GB) - Tản nhiệt vàng,DDR3,2,8,1333
1160000,Ram,,GSkill,Ram GSKill DDR3 8GB bus 1600MHz - F3-1600C11S-8GBNT,DDR3,1,8,1600
2490000,Ram,,GSkill,RAM Gskill DDR4 16GB bus 2133 RIPJAW 4 F4-2133C15Q-16GBRB (4x4),DDR4,4,16,2133
0,Ram,,GSkill,RAM Gskill DDR4 16GB bus 2133 RIPJAW 4 F4-2133C15Q-16GBRR (4x4) ,DDR4,4,16,2133
2990000,Ram,,GSkill,RAM Gskill DDR4 16GB bus 2666 RIPJAW 4 F4-2666C15Q-16GBRR (4x4),DDR4,4,16,2666
2690000,Ram,,GSkill,RAM Gskill DDR4 16GB bus 3000 RIPJAW 4 F4-3000C15Q-16GBRR (4x4),DDR4,4,16,3000
5670000,Ram,,GSkill,RAM GSkill DDR4 32GB bus 2666Mhz RIPJAW 4 F4-2666C15Q-32GBRKB (8x4),DDR4,8,32,2666
690000,Ram,,GSkill,Ram GSKill DDR4 4GB bus 2133MHz - F4-2133C15S-4GBNT,DDR4,1,4,2133
1290000,Ram,,GSkill,Ram GSKill DDR4 8GB bus 2133MHz - F4-2133C15S-8GBNT,DDR4,1,8,2133
2199000,Ram,,GSkill,RAM Gskill RIPJAW 4 DDR4 16GB (8x2) bus 2133Mhz - F4-2133C15D-16GBRR,DDR4,8,16,2133
5269000,Ram,,GSkill,RAM GSkill RIPJAW 4 DDR4 32GB (8x4) bus 2133Mhz  F4-2133C15Q-32GBRR,DDR4,8,32,2133
7777000,Ram,,GSkill,RAM GSkill RIPJAW 4 F4-2666C15Q-32GBRK (8x4) - 32GB DDR4 bus 2666Mhz,DDR4,8,32,2666
2699000,Ram,,GSkill,Ram Gskill RIPJAW V DDR4 16GB (8x2) bus 2133 F4-2133C15D-16GBVR,DDR4,8,16,2133
1479000,Ram,,GSkill,Ram GSKill RIPJAWS V 8GB (4GBx2) DDR4 bus 2133MHz - F4-2133C15D-8GBVR ,DDR4,1,8,2133
1389000,Ram,VF4-2666C15D-8GVR,GSkill,RAM GSkill RIPJAWS VF4-2666C15D-8GBVR (4x2) - 8GB DDR4 bus 2666Mhz,DDR4,4,8,2666
1090000,Ram,,GSkill,RAM GSKill RIPJAWSX DDR3 8GB bus 1600MHz - F3-12800CL10S-8xL,DDR3,1,8,1600
1090000,Ram,,GSkill,RAM GSKill RIPJAWSX DDR3 8GB bus 1866MHz - F3-14900CL10S-8xL,DDR3,1,8,1866
0,Ram,,GSkill,Ram GSKill RIPJAWSX F3-2400C11D-8GBXM (4GBx2),DDR3,1,8,2400
1090000,Ram,,GSkill,Ram GSKill RIPJAWSX SERIES DDR3 8GB (4GBx2) bus 1866MHz - F3-14900CL9D-8xL,DDR3,1,8,1866
0,Ram,,GSkill,Ram GSKill RIPJAWSX SERIES F3-17000CL11D-8xL (4GBx2),DDR3,1,4,17000
9999000,Ram,,GSkill,RAM GSkill RIPJAWSZ F3-17000CL9Q2-32GBZH (4GBx8),DDR3,1,32,17000
1700000,Ram,,GSkill,Ram GSKill SNIPER SERIES   F3-17000CL9D-8GBSR (4GBx2),DDR3,1,8,17000
1090000,Ram,,GSkill,Ram GSKill SNIPER SERIES DDR3 8GB (4GBx2) bus 1600Mhz - F3-12800CL9D-8GBSR,DDR3,1,8,1600
1160000,Ram,,GSkill,Ram GSKill SNIPER SERIES DDR3 8GB (4GBx2) bus 2133Mhz - F3-17000CL11D-8GBSR,DDR3,1,8,2133
1720000,Ram,,GSkill,Ram GSKill SNIPER SERIES F3-2400C11D-8GBSR (4GBx2),DDR4,1,8,2400
390000,Ram,,Kingmax,RAM KINGMAX DDR3 2GB 1600MHz,DDR3,1,2,1600
0,Ram,,Kingmax,Ram Kingmax DDR3 2GB bus 2000,DDR3,1,2,2000
0,Ram,,Kingmax,Ram Kingmax DDR3 2GB bus 2200 Hercules,DDR3,1,2,2200
0,Ram,,Kingmax,RAM KINGMAX DDR3 2GB bus 2400,DDR3,1,2,2400
0,Ram,,Kingmax,Ram Kingmax DDR3 4GB bus 2000 (Kit 2x2GB),DDR3,2,4,2000
0,Ram,,Kingmax,Ram Kingmax DDR3 4GB bus 2200 Hercules (Kit 2x2GB),DDR3,2,4,2200
0,Ram,,Kingmax,RAM KINGMAX DDR3 4GB bus 2400,DDR3,1,4,2400
0,Ram,,Kingmax,RAM KINGMAX DDR3 6GB bus 2200 Hercules (Kit 3x2GB),DDR3,3,6,2200
0,Ram,,Kingmax,RAM KINGMAX DDR3 8GB bus 1333 ,DDR3,1,8,1333
1050000,Ram,,Kingmax,Ram KINGMAX DDR3 8GB bus 2133MHz,DDR3,1,8,2133
680000,Ram,,Kingmax,RAM KINGMAX DDRAM III 4GB bus 1600,DDR3,1,4,1600
1150000,Ram,,Kingmax,RAM KINGMAX DDRAM III 8GB - bus 1600,DDR3,1,8,1600
450000,Ram,,Kingmax,RAM KINGMAX NANO GAMING DDR3 2GB bus 1600,DDR3,1,2,1600
690000,Ram,,Kingmax,RAM KINGMAX NANO GAMING DDRAM III 4GB bus 1600,DDR3,1,4,1600
0,Ram,,Kingmax,RAM KINGMAX DDR3 2GB 1333Mhz,DDR3,1,2,1333
690000,Ram,,Kingmax,RAM KINGMAX DDR3 4GB bus 1866MHz Công nghệ Nano Gaming,DDR3,1,4,1866
690000,Ram,,Kingmax,Ram KINGMAX DDR3 4GB bus 2133MHz Công nghệ Nano Gaming,DDR3,1,4,2133
1190000,Ram,,Kingmax,RAM KINGMAX DDR3 8GB bus 1866MHz Công nghệ Nano Gaming,DDR3,1,8,1866
690000,Ram,,Kingmax,Ram KINGMAX DDR4 4GB bus 2133MHz ,DDR4,1,4,2133
690000,Ram,,Kingmax,Ram KINGMAX DDR4 4GB bus 2400MHz,DDR4,1,4,2400
1250000,Ram,,Kingmax,Ram KINGMAX DDR4 8GB bus 2133MHz ,DDR4,1,8,2133
1250000,Ram,,Kingmax,Ram KINGMAX DDR4 8GB bus 2400MHz,DDR4,1,8,2400
2550000,Ram,HX316C10FBK2/16,Kingston,Ram Kingston 16GB 1600MHZ DDR3 CL10 Dimm (2x0) HyperX Fury Black HX316C10FBK2/16,DDR3,2,16,1600
2520000,Ram,HX318C10FBK2/16,Kingston,Ram Kingston 16GB 1866MHZ DDR3 CL10 Dimm (2x0) HyperX Fury Black HX318C10FBK2/16,DDR3,2,16,1866
1810000,Ram,KVR21N15D8/16,Kingston,RAM Kingston 16GB/2133 DDR4 CL15 DIMM,DDR4,1,16,2133
2700000,Ram,HX316C9SRK2/16,Kingston,Ram Kingston 16GB 1600MHz DDR3 Non-ECC CL9 DIMM (2x0) XMP HyperX Savage HX316C9SRK2/16,DDR3,2,16,1600
3500000,Ram,,Kingston,Ram Kingston 16GB DDR3-1600 CL10 (2x0) HyperX Plug n Play,DDR3,2,16,1600
430000,Ram,,Kingston,Ram Kingston 2GB DDR3-1600 KVR16N11S6/2,DDR3,1,2,1600
720000,Ram,,Kingston,Ram Kingston 4GB 1600MHZ DDR3 CL10 Dimm HyperX Fury Black,DDR3,1,4,1600
470000,Ram,,Kingston,Ram Kingston 4GB 1600MHZ DDR3 CL10 Dimm HyperX Fury Blue,DDR3,1,4,1600
470000,Ram,,Kingston,Ram Kingston 4GB 1600MHZ DDR3 CL10 Dimm HyperX Fury Red,DDR3,1,4,1600
720000,Ram,KVR16LN11/4,Kingston,Ram Kingston 4GB 1600MHZ DDR3L CL11 for PC skylake,DDR3,1,4,1600
710000,Ram,,Kingston,Ram Kingston 4GB 1866MHZ DDR3 CL10 Dimm HyperX Fury Black,DDR3,1,4,1866
520000,Ram,,Kingston,Ram Kingston 4GB 1866MHZ DDR3 CL10 Dimm HyperX Fury Blue,DDR3,1,4,1866
520000,Ram,,Kingston,Ram Kingston 4GB 1866MHZ DDR3 CL10 Dimm HyperX Fury Red,DDR3,1,4,1866
629000,Ram,HX316C10FW/4,Kingston,Ram Kingston 4GB 2666MHZ DDR4 Dimm HyperX Fury Black,DDR4,1,4,2666
690000,Ram,KVR21N15/4 KVR21N15S8/4,Kingston,RAM Kingston 4GB bus 2133 DDR4 CL15 DIMM,DDR4,1,4,2133
730000,Ram,HX316C9SR/4,Kingston,Ram Kingston 4GB 1600MHz DDR3 Non-ECC CL9 DIMM XMP HyperX Savage HX316C9SR/4,DDR3,1,4,1600
520000,Ram,HX318C9SR/4,Kingston,Ram Kingston 4GB 1866MHz DDR3 Non-ECC CL9 DIMM XMP HyperX Savage HX318C9SR/4,DDR3,1,4,1866
1200000,Ram,,Kingston,Ram Kingston 4GB DDR3-1600 CL9 (2x0) HyperX Plug n Play,DDR3,2,4,1600
710000,Ram,KVR16N11S8/4,Kingston,Ram Kingston 4GB DDR3-1600 KVR16N11S8/4,DDR3,1,4,1600
1350000,Ram,HX316C10FBK2/8,Kingston,Ram Kingston 8GB 1600MHZ DDR3 CL10 Dimm (2x0) HyperX Fury Black,DDR3,2,8,1600
0,Ram,,Kingston,Ram Kingston 8GB 1600MHZ DDR3 CL10 Dimm (2x0) HyperX Fury Blu,DDR3,2,8,1600
1350000,Ram,HX316C10FRK2/8,Kingston,Ram Kingston 8GB 1600MHZ DDR3 CL10 Dimm (2x0) HyperX Fury Red,DDR3,2,8,1600
910000,Ram,HX316C10FB/8,Kingston,Ram Kingston 8GB 1600MHZ DDR3 CL10 Dimm Fury Black HX316C10FB/8 ,DDR3,1,8,1600
1350000,Ram,HX316C10FR/8,Kingston,Ram Kingston 8GB 1600MHZ DDR3 CL10 Dimm Fury Red HX316C10FR/8,DDR3,1,8,1600
840000,Ram,HX316C10F/8,Kingston,Ram Kingston 8GB 1600MHZ DDR3 CL10 Dimm HyperX Fury Series HX316C10F/8,DDR3,1,8,1600
1290000,Ram,KVR16LN11/8,Kingston,Ram Kingston 8GB 1600MHZ DDR3L CL11 for PC skylake,DDR3,1,8,1600
1450000,Ram,,Kingston,Ram Kingston 8GB 1866MHZ DDR3 CL10 Dimm Fury Black HX318C10FB/8,DDR3,1,8,1866
910000,Ram,HX318C10FR/8,Kingston,Ram Kingston 8GB 1866MHZ DDR3 CL10 Dimm Fury Red HX318C10FR/8,DDR3,1,8,1866
1290000,Ram,KVR21N15S8/8,Kingston,RAM Kingston 8GB bus 2133 DDR4 CL15 DIMM ,DDR4,1,8,2133
1350000,Ram,HX316C9SRK2/8,Kingston,Ram Kingston 8GB 1600MHz DDR3 Non-ECC CL9 DIMM (2x0) XMP HyperX Savage HX316C9SRK2/8,DDR3,2,8,1600
1350000,Ram,HX316C9SR/8,Kingston,Ram Kingston 8GB 1600MHz DDR3 Non-ECC CL9 DIMM XMP HyperX Savage HX316C9SR/8,DDR3,1,8,1600
1600000,Ram,HX428C14SBK2/8,Kingston,RAM Kingston 8GB 2800Mhz DDR4 CL14 DIMM Savage HyperX (2x0) - HX428C14SBK2/8,DDR4,2,8,2800
1500000,Ram,HX428C14SB/8,Kingston,RAM Kingston 8GB 2800Mhz DDR4 CL14 DIMM Savage HyperX - HX428C14SB/8,DDR4,1,8,2800
1800000,Ram,HX430C15SBK2/8,Kingston,RAM Kingston 8GB 3000Mhz DDR4 CL15 DIMM Savage HyperX (2x0) - HX430C15SB/8,DDR4,2,8,3000
1750000,Ram,HX430C15SB/8,Kingston,RAM Kingston 8GB 3000Mhz DDR4 CL15 DIMM Savage HyperX - HX430C15SB/8,DDR4,1,8,3000
1250000,Ram,KVR16N11/8,Kingston,Ram Kingston 8GB DDR3-1600 KVR16N11/8,DDR3,1,8,1600
0,Ram,,Kingston,Ram Kingston DDR3 16GB bus 1600 (2x0) XMP Genesis,DDR3,2,16,1600
0,Ram,,Kingston,Ram Kingston DDR3 4GB bus 1600 CL9 Genesis ,DDR3,1,4,1600
0,Ram,,Kingston,Ram Kingston DDR3 8GB bus 1600 (2x0) XMP Genesis,DDR3,2,8,1600
2167000,Ram,KHX16C9T3K2/8X,Kingston,Ram Kingston HyperX Beast Series 8GB DDR3-1600 CL9 (2x0) KHX16C9T3K2/8X,DDR3,2,8,1600
940000,Ram,HX318C10FBK2/8,Kingston,Ram Kingston HyperX FURY 8GB Kit (2x4GB) 1866MHz DDR3 CL10 DIMM - Black (HX318C10FBK2/8),DDR3,2,8,1866
2450000,Ram,HX318C10FK2/8,Kingston,Ram Kingston HyperX FURY 8GB Kit (2x4GB) 1866MHz DDR3 CL10 DIMM - Blue (HX318C10FK2/8),DDR3,2,8,1866
1050000,Ram,,Kingston,Ram Kingston HyperX FURY 8GB Kit (2x4GB) 1866MHz DDR3 CL10 DIMM - Red (HX318C10FRK2/8),DDR3,2,8,1866
2850000,Ram,,Kingston,RAM Kingston HyperX Fury Black 16GB DDR4 bus 2133Mhz CL14 2x0 - HX421C14FBK2/16,DDR4,2,16,2133
2100000,Ram,HX424C15FBK2/16,Kingston,RAM Kingston HyperX Fury Black 16GB DDR4 bus 2400Mhz CL15 2x0 - HX424C15FBK2/16,DDR4,2,16,2400
2450000,Ram,HX426C15FBK2/16,Kingston,RAM Kingston HyperX Fury Black 16GB DDR4 bus 2666Mhz CL15 2x0 - HX426C15FBK2/16,DDR4,2,16,2666
4300000,Ram,HX430C15BPK2/16,Kingston,RAM Kingston HyperX Fury Black 16GB DDR4 bus 3000Mhz CL15 Kit of 4 - HX430C15BPK2/16,DDR4,1,16,3000
790000,Ram,HX421C14FB/4,Kingston,RAM Kingston HyperX Fury Black 4GB DDR4 bus 2133Mhz,DDR4,1,4,2133
1490000,Ram,HX421C14FBK2/8,Kingston,RAM Kingston HyperX Fury Black 8GB DDR4 bus 2133Mhz CL14 2x0,DDR4,2,8,2133
1490000,Ram,HX424C15FB/8,Kingston,RAM Kingston HyperX Fury Black 8GB DDR4 bus 2400Mhz CL15 - HX424C15FB/8,DDR4,1,8,2400
1480000,Ram,HX424C15FBK2/8,Kingston,RAM Kingston HyperX Fury Black 8GB DDR4 bus 2400Mhz CL15 2x0 - HX424C15FBK2/8,DDR4,2,8,2400
1490000,Ram,HX426C15FB/8,Kingston,RAM Kingston HyperX Fury Black 8GB DDR4 bus 2666Mhz CL15 HX426C15FB/8,DDR4,1,8,2666
1490000,Ram,HX426C15FBk2/8,Kingston,RAM Kingston HyperX Fury Black 8GB DDR4 bus 2666Mhz CL15 2x0 - HX426C15FBk2/8,DDR4,2,8,2666
1450000,Ram,HX421C14FB/8,Kingston,RAM Kingston HyperX Fury Black 8GB DDR4 bus 2133Mhz,DDR4,1,8,2133
715000,Ram,,Kingston,Ram Kingston HyperX Genesis 4GB DDR3 1866MHz CL10 DIMM,DDR3,1,4,1866
0,Ram,,Kingston,Ram Kingston HyperX Predator 16GB DDR3-1866 CL9 (2x0) XMP Predator KHX18C9T2K2/16X,DDR3,2,16,1866
2244000,Ram,KHX18C10T2K2/8,Kingston,Ram Kingston HyperX Predator 8GB DDR3-1866 CL10 (2x0) XMP Predator KHX18C10T2K2/8,DDR3,2,8,1866
0,Ram,KHX18C9T2K2/8X,Kingston,Ram Kingston HyperX Predator 8GB DDR3-1866 CL9 (2x0) XMP Predator KHX18C9T2K2/8X,DDR3,2,8,1866
0,Ram,,Kingston,Ram Kingston HyperX Predator 8GB DDR3-2133 CL11 2x0) XMP Water-cooled KHX2133C11D3W1K2/8GBX,DDR3,2,8,2133
650000,Ram,,Panram,RAM Panram Falcon Series 4GB (4x1) DDR3 bus 1600Mhz,DDR3,4,4,1600
550000,Ram,,Panram,RAM Panram Falcon Series 4GB DDR3 bus 1600Mhz - C114GBPSB,DDR3,1,4,1600
3000000,Ram,,Panram,RAM Panram Light sword Series 8GB (2x4GB) DDR3 - PUD2400C114GB2LSK,DDR3,2,8,2400
520000,Ram,,Panram,Ram Panram Ninja 4GB DDR3 bus 1600Mhz,DDR3,1,4,1600
640000,Ram,,Panram,RAM Panram Performance Series 4 GB DDR3 bus 1600Mhz - PUD31600C114GBPSB,DDR3,1,114,1600
3990000,Ram,,Panram,RAM Panram Value Series 16GB (2x8GB) DDR4 - PUD42133C158GB2VS,DDR4,2,16,2133
899000,Ram,,Panram,RAM Panram Value Series 4GB DDR4 bus 2133MHz - PUD42133C154GBVS,DDR4,1,4,2133
2160000,Ram,,Panram,RAM Panram Value Series 8GB (1x8GB) DDR4 - PUD42133C158GBVS,DDR4,1,8,2133
2740000,Ram,,Panram,RAM Panram Value Series 8GB (2x4GB) DDR4 - PUD42133C154GB2VS,DDR4,2,8,2133
2990000,Ram,,GSkill,RAM RIPJAW 4 F4-2133C15Q-16GBRK (4x4 ),DDR4,4,16,2133
